Unnamed: 0,label,message,msg_new
75,0,市场营销、管理类人才大型专场招聘会,市场营销 、 管理 类 人才 大型 专场 招聘会
76,0,与此同时也抵制其旗下一切品牌及控股品牌,与此同时 也 抵制 其 旗下 一切 品牌 及 控股 品牌
77,0,还包括更高级的EMBA以及SMBA,还 包括 更 高级 的 EMBA 以及 SMBA
78,0,20150721：腾讯视频v4,20150721 ： 腾讯 视频 v4
79,0,2015年下半年鹤山市教育系统部分事业单位公开招聘中小学、幼儿园教师14名公告,2015 年 下半年 鹤山市 教育 系统 部分 事业单位 公开 招聘 中小学 、 幼儿园 教师 14 名 公告
80,0,吸毒男子抢劫杀人被抓受审时大笑称这很正常更多新闻视频：,吸毒 男子 抢劫杀人 被 抓 受审 时 大笑 称 这 很 正常 更 多 新闻 视频 ：
81,0,好像姜河那可是手机拍不出来,好像 姜河 那 可是 手机 拍 不 出来
82,1,广东易凌信息科技有限公司感谢您的致电！我公司以良好的信誉，优质的服务，专业为您提供一站式无线营销推广与服务。电话忙时请拨打xxxxxx,广东 易凌 信息 科技 有限公司 感谢您 的 致电 ！ 我 公司 以 良好 的 信誉 ， 优质 的 服务 ， 专业 为 您 提供 一站式 无线 营销 推广 与 服务 。 电话 忙 时 请 拨打 xxxxxx
83,0,一个车厢有十几个什么房产公司的员工,一个 车厢 有 十几个 什么 房产公司 的 员工
84,0,36氪发布了分析公司投资指数的工具——氪指数,36 氪 发布 了 分析 公司 投资 指数 的 工具 — — 氪 指数
85,0,由一组布局错落的建筑群组成,由 一组 布局 错落 的 建筑群 组成
86,0,张晋老师的团队在南京迎接各位敬爱的家长们,张晋 老师 的 团队 在 南京 迎接 各位 敬爱 的 家长 们
87,0,请各位代表移步百度网盘下载~,请 各位 代表 移步 百度网 盘 下载 ~
88,0,中心区商业气息还是蛮浓厚的,中心区 商业 气息 还是 蛮 浓厚 的
89,0,因为装修花费就像一个无底洞,因为 装修 花费 就 像 一个 无底洞
90,0,xxxx首届无锡风情夜游节将于xxxx年x月xx日正式启动,xxxx 首届 无锡 风情 夜游 节 将 于 xxxx 年 x 月 xx 日 正式 启动
91,0,经营有九家展览馆的“鳞之家集团”用令人眼花缭乱的绘画和布景让人游客体验到视觉错觉带来的快乐,经营 有 九家 展览馆 的 “ 鳞之家 集团 ” 用 令人 眼花缭乱 的 绘画 和 布景 让 人 游客 体验 到 视觉 错觉 带来 的 快乐
92,0,打开百度主页看到了另一个地球吧被人类的逃亡主义震撼了我港真,打开 百度 主页 看到 了 另 一个 地球 吧 被 人类 的 逃亡 主义 震撼 了 我 港 真
93,0,美军再想侦查得派战斗机护航,美军 再 想 侦查 得 派 战斗机 护航
94,1,欢迎致电创业人家置业发展有限公司，本公司从事房地产开发、二手房销售、物业管理，欢迎新老客户前来惠顾，我们将竭诚为您服务，电话：xxxx,欢迎 致电 创业 人家 置业 发展 有限公司 ， 本 公司 从事 房地产 开发 、 二手房 销售 、 物业管理 ， 欢迎 新 老客户 前来 惠顾 ， 我们 将 竭诚 为您服务 ， 电话 ： xxxx
95,1,美女们浦东华润时代广场xxx恩曼琳三八妇女节活动xx年春款x折，xx年秋冬款x.x折，货品有限，现已开始预售，期待各位的光临哦！,美女 们 浦东 华润 时代广场 xxx 恩曼琳 三八妇女节 活动 xx 年春款 x 折 ， xx 年秋冬 款 x . x 折 ， 货品 有限 ， 现已 开始 预售 ， 期待 各位 的 光临 哦 ！
96,0,巧妙设计是利用转角在墙面上设计了两种不同样式的收纳柜,巧妙 设计 是 利用 转角 在 墙面 上 设计 了 两种 不同 样式 的 收纳 柜
97,0,x不知道当前对民间求助和募捐是否有管理规定、政策法规,x 不 知道 当前 对 民间 求助 和 募捐 是否 有 管理 规定 、 政策法规
98,0,去图书馆上网视频一个也打不开查资料的网页也打不开却让填什么问卷还什么只填名字就行弄虚作假的爱国情怀,去 图书馆 上网 视频 一个 也 打不开 查资料 的 网页 也 打不开 却 让 填 什么 问卷 还 什么 只 填 名字 就行 弄虚作假 的 爱国 情怀
99,0,一个打没电了换个手机继续打,一个打 没电 了 换个 手机 继续 打
100,0,幸福的人大都相同不幸的人各有各的不幸,幸福 的 人大 都 相同 不幸 的 人 各 有 各 的 不幸
101,0,娃娃出生到现在2岁半一步也没有离开过我,娃娃 出生 到 现在 2 岁 半 一步 也 没有 离开 过 我
102,0,x、加强程序化交易监管维护资本市场稳定,x 、 加强 程序化 交易 监管 维护 资本 市场 稳定
103,0,难道我要逼我开电脑上知乎吗,难道 我要 逼 我 开 电脑 上 知乎 吗
104,0,但专业投资机构的评价标准远更复杂更严格,但 专业 投资 机构 的 评价 标准 远 更 复杂 更 严格
105,0,菊花台风景区与雨花台风景区相邻而居,菊花 台 风景区 与 雨花台 风景区 相邻 而居
106,0,儿童医院的大夫不是应该更有爱心吗,儿童医院 的 大夫 不是 应该 更 有 爱心 吗
107,0,配以糖、蜂蜜和糖浆制成的酱汁,配以 糖 、 蜂蜜 和 糖浆 制成 的 酱汁
108,0,上公交车了发现手机在班上充电又提前下车回来拿,上 公交车 了 发现 手机 在 班上 充电 又 提前 下车 回来 拿
109,0,卡西欧男士太阳能超薄双显腕表$28,卡西欧 男士 太阳能 超薄 双显 腕表 $ 28
110,0,现在分别是大连市人民政府、大连市法院、检察院、公安局等,现在 分别 是 大连市人民政府 、 大连市 法院 、 检察院 、 公安局 等
111,1,Duang！香溢花城开门红！“三重钜惠”闹新春！ x、内环绝版性价比！限时一口价！xx#xxx，xxx平全能x房仅xxx万！x#xx,Duang ！ 香溢 花城 开门红 ！ “ 三重 钜 惠 ” 闹 新春 ！   x 、 内环 绝版 性价比 ！ 限时 一口价 ！ xx # xxx ， xxx 平 全能 x 房仅 xxx 万 ！ x # xx
112,0,浙江全面推动省市两级派驻机构全覆盖,浙江 全面 推动 省市 两级 派驻 机构 全 覆盖
113,0,全世界的手机都被你们承包了,全世界 的 手机 都 被 你们 承包 了
114,0,微博公开推荐股票2到5天获利袍5%到30%,微博 公开 推荐 股票 2 到 5 天 获利 袍 5% 到 30%
115,0,投资小也是大学生初创业的好项目,投资 小 也 是 大学生 初 创业 的 好 项目
116,0,你要结婚'就不要去找一个信奉单身主义的人给意见,你 要 结婚 ' 就 不要 去 找 一个 信奉 单身 主义 的 人 给 意见
117,0,今天上午球队将在新加坡滨海湾金沙酒店放松一下,今天上午 球队 将 在 新加坡 滨海 湾 金沙 酒店 放松 一下
118,0,孙校长坐镇哟~昨天的啤跑活动,孙 校长 坐镇 哟 ~ 昨天 的 啤 跑 活动
119,0,不过3600点附近仍有一定支撑,不过 3600 点 附近 仍 有 一定 支撑
120,0,Amazon上自营面膜任意两件149,Amazon 上 自营 面膜 任意 两件 149
121,0,标牌上写有手机天使的电话号码,标牌 上 写 有 手机 天使 的 电话号码
122,0,对于稳健型投资者来说多看少动为良策,对于 稳健 型 投资者 来说 多 看少动 为 良策
123,0,腾讯科技从华为终端内部渠道获悉,腾讯 科技 从 华为 终端 内部 渠道 获悉
124,0,"""视野和想法有了很多""""New""""的成分""",""" 视野 和 想法 有 了 很多 "" "" New "" "" 的 成分 """
125,0,IEOpera谷歌火狐都打不开四个浏览器都有问题,IEOpera 谷歌 火狐 都 打不开 四个 浏览器 都 有 问题
126,0,④防晒用品应从春天开始使用,④ 防晒 用品 应从 春天 开始 使用
127,0,我分享了百度云里的文件：?模仿游戏,我 分享 了 百度 云里 的 文件 ： ? 模仿 游戏
128,0,智能机器人正帮客户提供最新的理财信息、最火爆的周边特惠,智能 机器人 正帮 客户 提供 最新 的 理财 信息 、 最 火爆 的 周边 特惠
129,0,我院执行二庭法官单德瑞收到申请人陈某的一封表扬信,我院 执行 二庭 法官 单德瑞 收到 申请人 陈某 的 一封 表扬信
130,0,终于不是usedtobe了,终于 不是 usedtobe 了
131,0,数字城管中心对今天采集员上报的道路积水案件进行梳理,数字 城管 中心 对 今天 采集 员 上报 的 道路 积水 案件 进行 梳理
132,0,似乎要侵占身上的每一寸肌肤,似乎 要 侵占 身上 的 每一寸 肌肤
133,0,给大家分享“4d086e061d950a7b9ba1fc680bd162d9f3d3c982,给 大家 分享 “ 4d086e061d950a7b9ba1fc680bd162d9f3d3c982
134,0,机器人研发领域正朝着智能化发展,机器人 研发 领域 正 朝着 智能化 发展
135,1,亲爱的 贵阳刚到混血美女 绝对极品 等你来哟,亲爱 的   贵阳 刚到 混血美女   绝对 极品   等 你 来 哟
136,0,8、不在洗衣机内洗涤浸过汽油的衣物,8 、 不 在 洗衣机 内 洗涤 浸过 汽油 的 衣物
137,0,我觉得找不到路是百度地图的问题,我 觉得 找 不到 路 是 百度 地图 的 问题
138,0,高三版将在8月5日及15日转团关系时提前发售,高三 版 将 在 8 月 5 日及 15 日 转团 关系 时 提前 发售
139,0,不是超人不是机器人只是一普通人需要充足的睡眠嘘,不是 超人 不是 机器人 只是 一 普通人 需要 充足 的 睡眠 嘘
140,0,inputting+输入法辅助工具,inputting + 输入法 辅助工具
141,0,全新世嘉xxxx元购车红包,全新 世嘉 xxxx 元 购车 红包
142,1,尊敬的VIP您好、首先给拜个晚年，祝您新年快乐。阆中雷迪波尔春天百货从x月xx号开始全年最低折扣，所有秋冬产品x折，机会难得，快来抢购,尊敬 的 VIP 您好 、 首先 给 拜个 晚年 ， 祝您 新年快乐 。 阆中 雷 迪波尔 春天 百货 从 x 月 xx 号 开始 全年 最低 折扣 ， 所有 秋冬 产品 x 折 ， 机会难得 ， 快 来 抢购
143,0,365地产家居网无锡2012,365 地产 家居网 无锡 2012
144,0,7月外资投资额度增13%分析称将提高A股投资水平,7 月 外资 投资 额度 增 13% 分析 称 将 提高 A股 投资 水平
145,0,浙江省台州温岭松门：灿鸿台风过去后的天空,浙江省 台州 温岭 松 门 ： 灿鸿 台风 过去 后 的 天空
146,0,xxxx年被二中院以受贿罪判处死刑,xxxx 年 被 二中院 以 受贿罪 判处死刑
147,0,让我们做顺风车车主莫名奇妙补贴不到位也没有解释,让 我们 做 顺风 车 车主 莫名 奇妙 补贴 不 到位 也 没有 解释
148,0,与登峰造极的“异端审判法庭”,与 登峰造极 的 “ 异端 审判 法庭 ”
149,0,4、麦片西红柿汁：恢复晒黑皮肤,4 、 麦片 西红柿 汁 ： 恢复 晒黑 皮肤
150,0,直到依靠刷手机眼睛极度疲劳到天亮才能入睡,直到 依靠 刷 手机 眼睛 极度 疲劳 到 天亮 才能 入睡
151,0,2003年因抢劫罪被判刑18年,2003 年 因 抢劫罪 被 判刑 18 年
152,0,每天坐着电脑面前守着自己的小说,每天 坐 着 电脑 面前 守 着 自己 的 小说
153,0,使用方法：每天早晚化妆水等基本护肤之后使用,使用 方法 ： 每天 早晚 化妆水 等 基本 护肤 之后 使用
154,0,欧美风个性黑色流苏绒面上衣,欧美 风 个性 黑色 流苏 绒面 上衣
155,0,安邦共赢3号投资型综合保险,安邦 共赢 3 号 投资 型 综合 保险
156,0,传企业可以利用持续的融资能力击败运营能力强于自己的对,传 企业 可以 利用 持续 的 融资 能力 击败 运营 能力 强于 自己 的 对
157,0,全文始终以“一切都是最好的安排”为主线,全文 始终 以 “ 一切都是 最好 的 安排 ” 为主 线
158,0,领导说韩国某集团的领导每天加完班回去还要跑十公里,领导 说 韩国 某 集团 的 领导 每天 加完 班 回去 还要 跑 十公里
159,0,原标题：洛阳民警投诉西安警方：在西安抓贼,原 标题 ： 洛阳 民警 投诉 西安 警方 ： 在 西安 抓贼
160,0,国家的法律要不要修改一下对于这些人渣判重刑,国家 的 法律 要 不要 修改 一下 对于 这些 人渣 判 重刑
161,1,哥，你好，我是金堤路英皇服饰，我们联华二楼璞秀女装现做大型特卖会，全场五折封顶，活动刚刚开始，先到先得，有时间带姐去看看吧！,哥 ， 你好 ， 我 是 金堤 路 英皇 服饰 ， 我们 联华 二楼 璞秀 女装 现做 大型 特卖会 ， 全场 五折 封顶 ， 活动 刚刚开始 ， 先到 先得 ， 有 时间 带姐 去 看看 吧 ！
162,0,一抹就白坚持使用28天永久白一个月你的肤色至少亮一个色度,一抹 就 白 坚持 使用 28 天 永久 白 一个月 你 的 肤色 至少 亮 一个 色度
163,0,如何让机器人更安全的与人工作,如何 让 机器人 更 安全 的 与 人 工作
164,0,Quirky是一款拥有灵活设计的智能插线板,Quirky 是 一款 拥有 灵活 设计 的 智能 插 线板
165,0,他们的球星埃登·阿扎尔近日对媒体表示,他们 的 球星 埃登 · 阿扎尔 近日 对 媒体 表示
166,0,淮安的小伙伴多了个周末好去处,淮安 的 小伙伴 多 了 个 周末 好去处
167,0,周一周二追花千骨、无心法师,周一 周二 追花千骨 、 无心 法师
168,0,今年五月在如东和东台记录到的勺嘴鹬数量比去年同期增加了37%,今年 五月 在 如东 和 东台 记录 到 的 勺 嘴 鹬 数量 比 去年同期 增加 了 37%
169,0,咨询电话：86178350,咨询电话 ： 86178350
170,0,福建省漳州市1名13岁女生骑“死飞”撞到行车后不幸身亡,福建省 漳州市 1 名 13 岁 女生 骑 “ 死飞 ” 撞 到 行车 后 不幸身亡
171,0,尊上还没变凡人=￣ω￣=重头戏都没上,尊上 还 没变 凡人 = ￣ ω ￣ = 重头戏 都 没上
172,0,装修中极简便是让空间看上去非常简洁,装修 中 极 简便 是 让 空间 看上去 非常 简洁
173,0,南京市失业保险金的最低标准由858元/月调整到910元/月,南京市 失业 保险金 的 最低标准 由 858 元 / 月 调整 到 910 元 / 月
174,0,曹宁校医生南京门诊每周限号xx个,曹宁校 医生 南京 门诊 每周 限号 xx 个
175,0,在HTC产品市场表现越发疲软、,在 HTC 产品 市场 表现 越发 疲软 、
176,0,我是不明真相的萌萌哒吃瓜群众,我 是 不明真相 的 萌萌 哒 吃 瓜 群众
177,0,天使投资机构Homebrew合夥人HunterWalk分析了一些管理者心里抗拒解雇员工的原因,天使 投资 机构 Homebrew 合夥人 HunterWalk 分析 了 一些 管理者 心里 抗拒 解雇 员工 的 原因
178,0,x壶x手机复活x单身狗在哪,x 壶 x 手机 复活 x 单身 狗 在 哪
179,0,拿到钥匙后再也不会理那个置业顾问,拿到 钥匙 后 再也不会 理 那个 置业 顾问
180,0,当警察就算是被那个车撞死也愿意呀,当 警察 就算 是 被 那个 车 撞死 也 愿意 呀
181,0,以500架飞机代价击毁日机2600架,以 500 架飞机 代价 击毁 日机 2600 架
182,0,“扬州文心空手道”发了一个他爸爸吃“搭饭”的帖子,“ 扬州 文心 空手道 ” 发了 一个 他 爸爸 吃 “ 搭饭 ” 的 帖子
183,0,韩国著名ABOUTME柠檬排毒祛黄亮白按摩霜按摩膏,韩国 著名 ABOUTME 柠檬 排毒 祛 黄亮 白 按摩 霜 按摩 膏
184,0,Samantha官方旗舰店在打折哦～而且才知道仓库竟然就在苏州吴江…然并卵又不能自提,Samantha 官方 旗舰店 在 打折 哦 ～ 而且 才 知道 仓库 竟然 就 在 苏州 吴江 … 然 并 卵 又 不能 自提
185,0,该基金选择了和更有效率的民企合作,该 基金 选择 了 和 更 有效率 的 民企 合作
186,0,吃喝嫖赌贪污腐败糜烂千万人,吃喝嫖赌 贪污腐败 糜烂 千万 人
187,0,所有的装修细节让我真是喜欢我家,所有 的 装修 细节 让 我 真是 喜欢 我家
188,1,豪美装饰xx年最新活动，工程总款返还xx％，地址：建华大街与中山路交叉口东行xxx米钻石广场A座xxx室。电话xxxxxxxxxxx,豪美 装饰 xx 年 最新 活动 ， 工程 总款 返还 xx ％ ， 地址 ： 建华 大街 与 中山路 交叉口 东行 xxx 米 钻石 广场 A座 xxx 室 。 电话 xxxxxxxxxxx
