id,label,message
86,0,G-319343 é seu código de verificação do xxxxxle.
87,0,【xx趣】验证码:744114，请勿泄露。
88,0,【xxxx】您的验证码1267，该验证码5分xxx，请勿泄漏xxx！
89,0,【xxxx】您的验证码：320907，您正进行身份验证，若非您本人操作，请及时修改密码。
90,0,"?【xxx货币】尊敬的用户您好,您本次验证码为:617061。"
91,0,【xxxx coffee】验证码 ：364607，10分钟后即失效，赶紧和xxxx打个招呼吧！
92,0,"xxxxverification code (002411) may only be used once to verify mobile number. For account safety, don't forward the code to others."
93,0,【xxx通】尊敬的用户，您的手机验证码为：4605，此验证码五分xxx
94,0,"【xx转x】您的短信验证码是3079,若非本人发送，请忽略此短信,30分xxx"
95,0,【xxxx回收】您的验证码是：492156，千万不要告诉他人！如非本人操作，请忽略此信息。
96,0,【xx科技】你正在登录微信，验证码022446。xxx。如果这不是你本人操作，回复JZ可阻止该用户登录你的xx。
97,0,"【xxxx游网】尊敬的用户:您好！您正在进行手机验证操作,请输入短信验证码:759977,完成验证."
98,0,[xxxxtv]verificationcode:541295
